Title,Authors,Year,URL,Country,Dimension,Array type,Reciprocal data measured?,Software,Objective function norms,Convergence criteria,Data fit included?,Data misfit metric,Data misfit values,Model sensitivity metric,Forward modelling used?,Time-lapse presented?,
Thermokarst lake to lagoon transitions in Eastern Siberia: Do submerged taliks refreeze?,﻿Angelopoulos et al.,2020,https://doi.org/10.1029/2019JF005424,RUS,2D,Other,No,﻿Aarhus Workbench,Other,Not specified,No,n/a,n/a,Not specified,No,No,
﻿Heat and salt flow in subsea permafrost modeled with CryoGRID2,﻿Angelopoulos et al.,2019,﻿https://doi.org/10.1029/2018JF004823 ,RUS,2D,Other,No,RES2DINV,"L1 data, unknown model",Not specified,Yes,Absolute error,3.8,Not specified,No,No,
﻿Exploring the capabilities of electrical resistivity tomography to study subsea permafrost,﻿Arboleda-Zapata et al.,2022,﻿https://doi.org/10.5194/tc-16-4423-2022,"USA, RUS",2D,Other,No,Not specified,Other,Not specified,No,n/a,n/a,Not specified,No,No,
"﻿Shallow permafrost at the Crystal site of Peaceful Underground Nuclear Explosion (Yakutia, Russia): Evidence from electrical resistivity tomography",﻿Artamonova et al.,2022,﻿https://doi.org/10.3390/en15010301,RUS,2D,"Pole-dipole (other), dipole-dipole",No,RES2DINV,L1,Not specified,No,n/a,n/a,Not specified,Yes,No,
"﻿Geophysical investigations on Por-Bajin island, Tuva (Russia)",﻿Arzhantseva et al. ,2009,﻿https://doi.org/10.4000/archeosciences.1182,RUS,2D,Not specified,No,Not specified,Not specified,Not specified,No,n/a,n/a,Not specified,No,No,
"Imaging buried massive ice in Victoria valley, Antarctica, with multi-electrode electrical resistivity and ground penetrating radar ",﻿Bannister et al.,2019,https://doi.org/10.1190/segam2019-3206017.1,ATA,2D,Not specified,No,RES2DINV,L1,Not specified,Yes,RMS,﻿14.6,Not specified,No,No,
﻿Objective interpretation of induced polarization tomography using a quantitative approach for the investigation of periglacial environments,﻿Banville et al.,2016,https://doi.org/10.1016/j.jappgeo.2016.04.019,CAN,2D,Dipole-dipole,No,﻿RES2DINV,L1,Convergence of data misfit (<5% change) or 7 iterations,Yes,Absolute error,"﻿6.56, 4.21",Model resolution matrix,YES,No,
﻿Current land and waterborne geophysical methods for guiding horizontal directional drilling and trenching along pipeline right-of-ways,﻿Bauman et al.,2016,https://doi.org/10.1115/IPC2016-64090,CAN,2D,Not specified,No,Not specified,Not specified,Not specified,No,n/a,n/a,Not specified,No,No,
"Resistivity and Induced Polarization (ERT/IP) survey for bedrock mapping in Permafrost, Svalbard",﻿Bazin et al.,2019,https://doi.org/10.3997/2214-4609.201902362,NOR,2D,Multigradient (other),No,RES2DINV,L1,Not specified,No,n/a,n/a,Not specified,No,No,
"﻿Permafrost patch size in the sporadic discontinuous and isolated patches permafrost zones, southern Yukon and northern B.C.","﻿Bellehumeur-Génier and
Lewkowicz",2015,https://members.cgs.ca/documents/conference2015/GeoQuebec/papers/160.pdf,CAN,2D,Wenner-A,No,RES2DINV,L1,Data fit achieved (<5% error) or 5 iterations,Yes,Absolute error,"4.8, 4.9, 4.1, 4.4, 2.1, 2.5, 6.6, 3.5",Not specified,No,No,
"﻿A comparison of frequency domain electro-magnetometry, electrical resistivity tomography and borehole temperatures to assess the presence of ice in a rock glacier",﻿Boaga et al.,2020,https://doi.org/10.3389/feart.2020.586430,CHE,2D,"Wenner-Schlumberger, dipole-dipole",Yes,R2,Not specified,Data fit achieved (<5% error),No,n/a,n/a,Not specified,No,No,
"﻿Delineation of underbed talik in the Lena River Delta with the use of geophysics - results of GPR, TEM and ERT measurements",﻿Bobrov et al.,2018,https://pure.spbu.ru/ws/portalfiles/portal/35263082/ba75d7_e2173945577b4b228e318f672dff8151.pdf#page=67,RUS,2D,"Dipole-dipole, Wenner-Schlumberger",No,﻿ZondRes2D,Not specified,Not specified,No,n/a,n/a,Not specified,No,No,
﻿The 2006 Collapse of the Bérard Rock Glacier (Southern French Alps),﻿Bodin et al.,2017,https://doi.org/10.1002/ppp.1887,FRA,2D,Wenner-A,No,RES2DINV,Not specified,Not specified,Yes,RMS,"6.9, 6.3",Not specified,No,No,
"﻿Two decades of responses (1986–2006) to climate by the Laurichard Rock Glacier, French Alps",﻿Bodin et al.,2009,https://doi.org/10.1002/ppp.665,FRA,2D,Pole-dipole (other),No,Not specified,Not specified,Not specified,Yes,R-squared,"0.697, 0.535",Not specified,No,No,
﻿Radar sounding of temperate permafrost in Alaska: Analogy to the Martian midlatitude to high-latitude ice-rich terrains,﻿Boisson et al.,2011,https://doi.org/10.1029/2010JE003768,USA,2D,Wenner-A,No,Not specified,L2,Not specified,Yes,RMS,4.66,Not specified,No,No,
